,START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE,day_wk,new_days,new_days_1
65,2/2/2016 13:51,2/2/2016 14:06,Business,Cary,Cary,6.0,Errand/Supplies,2016-02-02 13:51:00,1,Tuesday
66,2/2/2016 14:38,2/2/2016 14:42,Business,Cary,Cary,1.6,Errand/Supplies,2016-02-02 14:38:00,1,Tuesday
67,2/4/2016 8:40,2/4/2016 9:01,Business,Cary,Morrisville,5.2,Errand/Supplies,2016-02-04 08:40:00,3,Thursday
68,2/4/2016 9:37,2/4/2016 10:09,Business,Morrisville,Cary,9.7,Meal/Entertain,2016-02-04 09:37:00,3,Thursday
69,2/4/2016 10:26,2/4/2016 10:32,Business,Cary,Cary,1.6,Meal/Entertain,2016-02-04 10:26:00,3,Thursday
70,2/4/2016 15:59,2/4/2016 16:03,Business,Cary,Cary,1.1,Meal/Entertain,2016-02-04 15:59:00,3,Thursday
71,2/4/2016 16:35,2/4/2016 16:39,Business,Cary,Cary,1.6,Meal/Entertain,2016-02-04 16:35:00,3,Thursday
72,2/4/2016 18:04,2/4/2016 18:31,Business,Whitebridge,Macgregor Downs,9.0,Meeting,2016-02-04 18:04:00,3,Thursday
73,2/4/2016 20:36,2/4/2016 20:55,Business,Cary,Cary,7.7,Meeting,2016-02-04 20:36:00,3,Thursday
74,2/5/2016 11:47,2/5/2016 12:07,Business,Cary,Durham,10.4,Meeting,2016-02-05 11:47:00,4,Friday
75,2/5/2016 13:22,2/5/2016 13:41,Business,Durham,Cary,10.4,Meeting,2016-02-05 13:22:00,4,Friday
76,2/6/2016 16:20,2/6/2016 16:53,Business,Cary,Raleigh,11.4,Between Offices,2016-02-06 16:20:00,5,Saturday
77,2/6/2016 18:57,2/6/2016 19:21,Business,Raleigh,Cary,9.0,Errand/Supplies,2016-02-06 18:57:00,5,Saturday
78,2/6/2016 19:28,2/6/2016 19:37,Business,Edgehill Farms,Whitebridge,3.2,Meal/Entertain,2016-02-06 19:28:00,5,Saturday
79,2/7/2016 16:49,2/7/2016 17:01,Business,Cary,Apex,5.6,Errand/Supplies,2016-02-07 16:49:00,6,Sunday
80,2/7/2016 18:03,2/7/2016 18:17,Business,Apex,Cary,5.7,Customer Visit,2016-02-07 18:03:00,6,Sunday
81,2/7/2016 18:39,2/7/2016 18:53,Business,Cary,Morrisville,6.1,Temporary Site,2016-02-07 18:39:00,6,Sunday
82,2/7/2016 20:22,2/7/2016 20:40,Business,Morrisville,Cary,6.1,Meeting,2016-02-07 20:22:00,6,Sunday
83,2/8/2016 12:57,2/8/2016 13:08,Business,Whitebridge,Edgehill Farms,4.3,Meal/Entertain,2016-02-08 12:57:00,0,Monday
84,2/8/2016 14:00,2/8/2016 14:10,Business,Edgehill Farms,Whitebridge,2.7,Meal/Entertain,2016-02-08 14:00:00,0,Monday
85,2/9/2016 10:54,2/9/2016 11:07,Personal,Whitebridge,Northwoods,5.3,Miscellaneous,2016-02-09 10:54:00,1,Tuesday
86,2/9/2016 11:43,2/9/2016 11:50,Personal,Northwoods,Tanglewood,3.0,Miscellaneous,2016-02-09 11:43:00,1,Tuesday
87,2/9/2016 13:36,2/9/2016 13:52,Personal,Tanglewood,Preston,5.1,Miscellaneous,2016-02-09 13:36:00,1,Tuesday
88,2/9/2016 13:58,2/9/2016 14:02,Personal,Preston,Whitebridge,1.5,Miscellaneous,2016-02-09 13:58:00,1,Tuesday
89,2/9/2016 18:55,2/9/2016 19:11,Business,Cary,Morrisville,6.1,Miscellaneous,2016-02-09 18:55:00,1,Tuesday
90,2/9/2016 20:24,2/9/2016 20:40,Business,Morrisville,Cary,6.1,Meal/Entertain,2016-02-09 20:24:00,1,Tuesday
91,2/11/2016 16:28,2/11/2016 17:10,Business,Cary,Raleigh,17.3,Meal/Entertain,2016-02-11 16:28:00,3,Thursday
92,2/11/2016 17:49,2/11/2016 18:10,Business,Eastgate,Walnut Terrace,5.7,Meal/Entertain,2016-02-11 17:49:00,3,Thursday
93,2/11/2016 18:24,2/11/2016 18:46,Business,Raleigh,Morrisville,13.5,Temporary Site,2016-02-11 18:24:00,3,Thursday
94,2/11/2016 20:36,2/11/2016 20:51,Business,Morrisville,Cary,6.1,Temporary Site,2016-02-11 20:36:00,3,Thursday
95,2/12/2016 8:21,2/12/2016 8:42,Business,Cary,Durham,8.5,Temporary Site,2016-02-12 08:21:00,4,Friday
96,2/12/2016 10:45,2/12/2016 10:52,Business,Durham,Morrisville,2.6,Temporary Site,2016-02-12 10:45:00,4,Friday
97,2/12/2016 11:14,2/12/2016 11:35,Business,Morrisville,Raleigh,17.0,Customer Visit,2016-02-12 11:14:00,4,Friday
98,2/12/2016 13:02,2/12/2016 13:36,Business,Raleigh,Cary,18.0,Meeting,2016-02-12 13:02:00,4,Friday
99,2/12/2016 14:49,2/12/2016 15:06,Business,Cary,Morrisville,8.4,Meeting,2016-02-12 14:49:00,4,Friday
